Name,Location,Price,Monthly Payment,Milage (KM),Ownership,Transmission
2019 Ford Everest 2.0Bi-Turbo 4WD XLT,"Midridge Park, Midrand",R 599 900,R            11 419     p/m,62 500 km,Used Car,Automatic
2017 Alfa Romeo Stelvio 2.0T First Edition Q4,"Bryanston, Sandton",R 599 900,R            11 419     p/m,75 000 km,Used Car,Automatic
,,,,75 000 km,Used Car,Automatic
2022 Ford Ranger 2.2TDCi Double Cab Hi-Rider XL Sport,"Windsor West, Randburg",R 599 900,R            11 419     p/m,580 km,Used Car,Manual
2019 Mercedes-Benz A-Class A200 Sedan AMG Line,"Windsor West, Randburg",R 599 900,R            11 419     p/m,62 545 km,Used Car,Automatic
2018 Land Rover Discovery Sport HSE TD4,"Highveld Business Park, Centurion",R 599 900,R            11 419     p/m,87 000 km,Used Car,Automatic
2015 Kia Rio hatch 1.4 Tec,,R 159 900,R            3 044     p/m,112 000 km,Used Car,Manual
2016 Ford EcoSport 1.5 Ambiente,,R 189 900,R            3 615     p/m,70 000 km,Used Car,Manual
2012 Volkswagen Golf GTi Auto,,R 239 900,R            4 566     p/m,158 000 km,Used Car,Automatic
2021 Volkswagen T-Roc 2.0TSI 140kW 4Motion R-Line,"Edenburg, Sandton",R 599 900,R            11 419     p/m,21 087 km,Used Car,Automatic
2014 Mercedes-Benz ML ML63 AMG,"Glen Nerine, Sandton",R 599 900,R            11 419     p/m,112 000 km,Used Car,Automatic
2021 Mazda BT-50 3.0TD Double Cab Dynamic,"Strubensvallei, Roodepoort",R 599 900,R            11 419     p/m,11 500 km,Used Car,Automatic
2022 Mazda BT-50 3.0TD Double Cab Dynamic,"Strubensvallei, Roodepoort",R 599 900,R            11 419     p/m,6 000 km,Demo,Automatic
2018 Mercedes-Benz CLA CLA200 AMG Line Auto,"Lonehill, Sandton",R 599 900,R            11 419     p/m,28 500 km,Used Car,Automatic
2018 Ford Ranger 3.2TDCi Double Cab 4x4 Wildtrak Auto,"Lonehill, Sandton",R 599 900,R            11 419     p/m,25 000 km,Used Car,Automatic
2018 BMW X3 xDrive20d,"Lonehill, Sandton",R 599 900,R            11 419     p/m,68 000 km,Used Car,Automatic
1975 Volkswagen Kombi Westfalia,"Lonehill, Sandton",R 599 900,R            11 419     p/m,90 000 km,Used Car,Manual
2017 Subaru WRX WRX STi Premium,"Lonehill, Sandton",R 599 900,R            11 419     p/m,20 000 km,Used Car,Manual
2016 Volkswagen Golf R Auto,"Lonehill, Sandton",R 599 900,R            11 419     p/m,29 000 km,Used Car,Automatic
2016 Honda Jazz 1.5 Elegance,,R 179 950,R            3 425     p/m,120 000 km,Used Car,Manual
2020 Nissan Navara 2.3D Double Cab 4x4 Stealth Auto,,R 599 951,R            11 420     p/m,59 000 km,Used Car,Automatic
2018 Jaguar F-Pace 30d AWD R-Sport,,R 699 950,R            13 323     p/m,81 000 km,Used Car,Automatic
2017 BMW 6 Series 640d Gran Coupe M Sport,"Newlands, Pretoria",R 599 900,R            11 419     p/m,99 000 km,Used Car,Automatic
2022 Audi Q2 35TFSI,"Sandown, Sandton",R 599 900,R            11 419     p/m,99 000 km,Used Car,Automatic
2015 Porsche Cayenne Diesel,"Corporate Park, Midrand",R 599 900,R            11 419     p/m,121 000 km,Used Car,Automatic
2018 BMW 2 Series M240i Coupe Sports-Auto,"Corporate Park, Midrand",R 599 900,R            11 419     p/m,59 000 km,Used Car,Automatic
2015 Land Rover Defender 110 TD Station Wagon S,"Gleneagles, Johannesburg",R 599 900,R            11 419     p/m,149 900 km,Used Car,Manual
,,,,149 900 km,Used Car,Manual
2021 Lexus ES 250 EX,"Gleneagles, Johannesburg",R 599 900,R            11 419     p/m,4 742 km,Demo,Automatic
2006 Hummer H2 SUV,"Vrededorp, Johannesburg",R 599 900,R            11 419     p/m,156 000 km,Used Car,Automatic
2021 Kia Sportage 2.0CRDi EX Plus,"Fontainebleau, Randburg",R 599 900,R            11 419     p/m,12 159 km,Used Car,Automatic
2020 Volkswagen Tiguan 2.0TDI 4Motion Comfortline,"Fontainebleau, Randburg",R 599 900,R            11 419     p/m,45 000 km,Used Car,Automatic
2019 Mercedes-Benz A-Class A250 Hatch AMG Line,"Sandown, Sandton",R 599 900,R            11 419     p/m,62 000 km,Used Car,Automatic
2022 Lexus RX 350 EX,,R 1 183 000,R            22 517     p/m,62 000 km,Used Car,Automatic
2022 Lexus ES 300h SE,,R 976 900,R            18 594     p/m,62 000 km,Used Car,Automatic
2022 Lexus RX 350 EX,,R 1 183 000,R            22 517     p/m,62 000 km,Used Car,Automatic
2018 Toyota Fortuner 2.8GD-6 4x4 Auto,"Sandown, Sandton",R 599 900,R            11 419     p/m,88 000 km,Used Car,Automatic
1989 Mercedes-Benz Gelandewagen GE280,"Zwartkop, Centurion",R 599 900,R            11 419     p/m,71 000 km,Used Car,Manual
2018 BMW X3 xDrive20d,"Wilro Park, Roodepoort",R 599 900,R            11 419     p/m,53 000 km,Used Car,Automatic
2021 Kia Grand Sedona 2.2CRDi EX+,"Bardene, Boksburg",R 599 900,R            11 419     p/m,33 358 km,Used Car,Automatic
2018 Volvo S90 T6 AWD R-Design,"Sandown, Sandton",R 599 900,R            11 419     p/m,58 000 km,Used Car,Automatic
2022 Peugeot Landtrek 1.9D Allure,"Springs Central, Springs",R 599 900,R            11 419     p/m,58 000 km,Used Car,Automatic
2022 Peugeot Landtrek 1.9D Allure,"Springs Central, Springs",R 599 900,R            11 419     p/m,58 000 km,Used Car,Automatic
2021 Peugeot Landtrek 1.9D 4Action 4x4,"Weltevreden Park, Roodepoort",R 599 900,R            11 419     p/m,1 500 km,Used Car,Automatic
2022 Peugeot Landtrek 1.9D Allure,"Springs Central, Springs",R 599 900,R            11 419     p/m,1 500 km,Used Car,Automatic
2018 Toyota Fortuner 2.8GD-6 4x4 Auto,"Zwartkop, Centurion",R 599 900R 649 900,R            11 419     p/mR            12 370     p/m,58 000 km,Used Car,Automatic
2022 Suzuki Vitara Brezza 1.5 GL,,R 249 769,R            4 754     p/m,35 km,Used Car,Manual
2020 Land Rover Defender P400,,R 1 499 000,R            28 532     p/m,40 896 km,Used Car,Automatic
2012 Ford Figo 1.4 Ambiente,,R 89 950,R            1 712     p/m,94 159 km,Used Car,Manual
2022 Peugeot Landtrek 1.9D Allure,"Springs Central, Springs",R 599 900,R            11 419     p/m,94 159 km,Used Car,Manual
2022 Peugeot Landtrek 1.9D Allure,"Springs Central, Springs",R 599 900,R            11 419     p/m,94 159 km,Used Car,Manual
2021 Kia Grand Sedona 2.2CRDi EX+,"Bardene, Boksburg",R 599 900,R            11 419     p/m,33 358 km,Used Car,Automatic
2018 Volvo S90 T6 AWD R-Design,"Sandown, Sandton",R 599 900,R            11 419     p/m,58 000 km,Used Car,Automatic
1989 Mercedes-Benz Gelandewagen GE280,"Zwartkop, Centurion",R 599 900,R            11 419     p/m,71 000 km,Used Car,Manual
2021 Toyota RAV4 2.0 AWD GX-R,"Corporate Park, Midrand",R 599 900,R            11 419     p/m,4 500 km,Used Car,Automatic
2021 GWM P-Series 2.0TD Double Cab LT 4x4,"Woodmead, Sandton",R 599 900,R            11 419     p/m,14 141 km,Used Car,Automatic
2020 Mercedes-Benz C-Class C180 Avantgarde,"Bryanston, Sandton",R 599 900,R            11 419     p/m,42 031 km,Used Car,Automatic
2017 Land Rover Range Rover Evoque HSE Dynamic SD4,"Northcliff, Randburg",R 599 900,R            11 419     p/m,56 000 km,Used Car,Automatic
2022 Toyota Fortuner 2.4GD-6,"Fourways, Sandton",R 599 900,R            11 419     p/m,3 000 km,Used Car,Manual
2021 Nissan NP200 1.6i,,R 179 000,R            3 407     p/m,11 520 km,Used Car,Manual
2020 Suzuki S-Presso 1.0 GL+,,R 134 900,R            2 568     p/m,22 600 km,Used Car,Manual
2012 Lexus LX 570,,R 495 000,R            9 422     p/m,170 000 km,Used Car,Automatic
,,,,170 000 km,Used Car,Automatic
2022 Audi A3 Sedan 35TFSI Advanced Line,"Sandton Central, Sandton",R 599 900,R            11 419     p/m,7 000 km,Used Car,Automatic
2021 Audi A4 35TDI,"Sandton Central, Sandton",R 599 900,R            11 419     p/m,42 000 km,Used Car,Automatic
2016 Audi Q7 3.0TDI Quattro,"Bryanston, Sandton",R 599 900,R            11 419     p/m,124 000 km,Used Car,Automatic
2020 Kia Grand Sedona 2.2CRDi SXL,"Bryanston, Sandton",R 599 900,R            11 419     p/m,55 000 km,Used Car,Automatic
2019 Toyota Hilux 2.8GD-6 double cab Raider auto,"Sandown, Sandton",R 599 900,R            11 419     p/m,89 898 km,Used Car,Automatic
2015 BMW X5 xDrive30d Exterior Design Pure Excellence,"Sandown, Sandton",R 599 900,R            11 419     p/m,58 745 km,Used Car,Automatic
2020 BMW 3 Series 320i M Sport Launch Edition,"Craigavon, Sandton",R 599 900,R            11 419     p/m,69 873 km,Used Car,Automatic
2019 Volvo XC60 D5 AWD Momentum,"Craigavon, Sandton",R 599 900,R            11 419     p/m,70 000 km,Used Car,Automatic
2020 BMW 1 Series 118i M Sport,"Craigavon, Sandton",R 599 900,R            11 419     p/m,20 806 km,Used Car,Automatic
2020 BMW 1 Series 118i M Sport,"Craigavon, Sandton",R 599 900,R            11 419     p/m,28 000 km,Used Car,Automatic
2018 Ford Mustang 2.3T Fastback,,R 569 900,R            10 848     p/m,47 318 km,Used Car,Manual
2022 Suzuki Jimny 1.5 GL Allgrip Auto,,R 352 900,R            6 717     p/m,101 km,Demo,Automatic
2013 Ford EcoSport 1.5 Titanium Auto,,R 209 995,R            3 997     p/m,108 000 km,Used Car,Automatic
2017 Lexus RX 350 EX,"Northcliff, Randburg",R 599 900,R            11 419     p/m,53 000 km,Used Car,Automatic
2022 GWM P-Series 2.0TD Double Cab LT,"Oakdene, Johannesburg",R 599 800,R            11 417     p/m,101 km,Used Car,Automatic
2014 Mercedes-Benz ML ML63 AMG Premium Edition,"Noordwyk, Midrand",R 599 800,R            11 417     p/m,126 500 km,Used Car,Automatic
2020 Ford Everest 2.0Bi-Turbo XLT,"Benoni Central, Benoni",R 599 800,R            11 417     p/m,19 901 km,Used Car,Automatic
2017 Land Rover Range Rover Evoque HSE Dynamic TD4,"Jansenpark, Boksburg",R 599 000,R            11 401     p/m,78 013 km,Used Car,Automatic
2020 Audi Q3 35TFSI Advanced line,"Oakdene, Johannesburg",R 599 000,R            11 401     p/m,23 000 km,Used Car,Automatic
2014 Porsche Macan S Diesel,"Oakdene, Johannesburg",R 599 000,R            11 401     p/m,139 500 km,Used Car,Automatic
2021 MINI Countryman Cooper Countryman,"Vorna Valley, Midrand",R 599 000,R            11 401     p/m,12 500 km,Used Car,Automatic
2018 Land Rover Discovery Sport SE TD4,"Morningside, Sandton",R 599 000,R            11 401     p/m,42 000 km,Used Car,Automatic
2011 Mercedes-Benz CLS CLS63 AMG,"Kramerville, Sandton",R 599 000,R            11 401     p/m,65 000 km,Used Car,Automatic
2016 Audi Q3 1.4TFSI S Auto,,R 349 900,R            6 660     p/m,85 000 km,Used Car,Automatic
2019 Toyota Corolla Quest 1.6,,R 209 900,R            3 995     p/m,47 000 km,Used Car,Manual
2020 Kia Grand Sedona 2.2CRDi SXL,,R 599 900,R            11 419     p/m,55 000 km,Used Car,Automatic
2022 Audi A3 Sedan 35TFSI Advanced Line,"Bardene, Boksburg",R 599 000,R            11 401     p/m,8 003 km,Used Car,Automatic
2019 Volkswagen Tiguan Allspace 2.0TSI 4Motion Comfortline R-Line,"Corporate Park, Midrand",R 599 000,R            11 401     p/m,47 000 km,Used Car,Automatic
2021 Ford Tourneo Custom 2.2TDCi LWB Trend,"Glen Nerine, Sandton",R 598 890,R            11 399     p/m,23 000 km,Used Car,Manual
2021 Volkswagen T-Roc 2.0TSI 140kW 4Motion R-Line,"Kensington, Johannesburg",R 598 800,R            11 398     p/m,21 568 km,Used Car,Automatic
2022 Nissan TERRA 2.5DDTi XE (Manual),"Geduld Ext 1, Springs",R 596 900,R            11 361     p/m,21 568 km,Used Car,Automatic
,,,,21 568 km,Used Car,Automatic
2021 Ford Ranger 2.0SiT Double Cab Hi-Rider XLT FX4,"Midridge Park, Midrand",R 595 900,R            11 342     p/m,54 000 km,Used Car,Automatic
2018 Audi SQ5 SQ5 TFSI Quattro,"Rhodesfield, Kempton Park",R 590 000,R            11 230     p/m,86 000 km,Used Car,Automatic
2019 Mercedes-Benz CLA CLA200,"Rhodesfield, Kempton Park",R 590 000,R            11 230     p/m,72 000 km,Used Car,Automatic
2020 BMW 2 Series 218i Gran Coupe M Sport,"Cresta, Randburg",R 590 000,R            11 230     p/m,57 000 km,Used Car,Automatic
2019 Audi A5 Cabriolet 2.0TFSI Sport,"Morningside, Sandton",R 589 995,R            11 230     p/m,43 950 km,Used Car,Automatic
2022 GWM Steed 5 2.0VGT Double Cab 4x4 SX,,R 388 900,R            7 402     p/m,26 km,Used Car,Manual
2022 Mercedes-AMG G-Class G63,,R 4 599 950,R            87 556     p/m,1 500 km,Used Car,Automatic
2017 Suzuki Jimny 1.3,,R 209 800,R            3 993     p/m,130 456 km,Used Car,Manual
2018 Toyota Fortuner 2.8GD-6 4x4 Auto,"Hennops Park Industrial, Centurion",R 589 995,R            11 230     p/m,114 000 km,Used Car,Automatic
2021 Kia Grand Sedona 2.2CRDi EX,"Oakdene, Johannesburg",R 589 995,R            11 230     p/m,16 500 km,Used Car,Automatic
2019 Toyota Fortuner 2.8GD-6 Auto,"Centurion Central, Centurion",R 589 995,R            11 230     p/m,48 000 km,Used Car,Automatic
2022 Audi A3 Sportback 35TFSI Advanced line,"Bruma, Johannesburg",R 589 995,R            11 230     p/m,11 000 km,Used Car,Automatic
2019 Audi Q5 45TFSI Quattro Sport,"Bruma, Johannesburg",R 589 995,R            11 230     p/m,59 000 km,Used Car,Automatic
2020 Mercedes-Benz C-Class C180,"Craighall Park, Johannesburg",R 589 995,R            11 230     p/m,56 000 km,Used Car,Automatic
2021 Toyota Hilux 2.4GD-6 Double Cab Raider,"Hennops Park Industrial, Centurion",R 589 990,R            11 230     p/m,15 500 km,Used Car,Manual
,,,,15 500 km,Used Car,Manual
2022 Volkswagen Polo GTi,"Centurion Central, Centurion",R 589 990,R            11 230     p/m,850 km,Used Car,Automatic
2021 Toyota RAV4 2.0 AWD GX-R,"Darrenwood, Randburg",R 589 990,R            11 230     p/m,39 400 km,Used Car,Automatic
2022 Ford Ranger 2.0SiT Double Cab Hi-Rider XLT,"Factoria, Krugersdorp",R 589 990,R            11 230     p/m,4 471 km,Used Car,Automatic
2017 Suzuki Swift Hatch 1.2 GL,,R 144 950,R            2 759     p/m,72 000 km,Used Car,Manual
2017 Suzuki Swift Hatch 1.2 GL,,R 149 950,R            2 854     p/m,59 000 km,Used Car,Manual
2016 Hyundai H-1 2.5VGTi Bus,,R 469 950,R            8 945     p/m,83 000 km,Used Car,Automatic
2022 Volkswagen T-Roc 2.0TSI 140kW 4Motion Design,"Muckleneuk, Pretoria",R 589 950,R            11 229     p/m,15 300 km,Used Car,Automatic
2019 Mercedes-Benz C-Class C180 AMG Line Auto,"Beyers Park, Boksburg",R 589 950,R            11 229     p/m,57 300 km,Used Car,Automatic
2022 Volkswagen Polo GTi,"Bryanston, Sandton",R 589 950,R            11 229     p/m,1 000 km,Used Car,Automatic
2019 Mercedes-Benz C-Class C180 AMG Line Auto,"Bedfordview, Bedfordview",R 589 950,R            11 229     p/m,54 000 km,Used Car,Automatic
2008 Chevrolet Lumina Ute SS,"Paulshof, Sandton",R 589 950,R            11 229     p/m,39 000 km,Used Car,Manual
2018 BMW X3 xDrive20d Auto,"Paulshof, Sandton",R 589 950,R            11 229     p/m,84 000 km,Used Car,Automatic
2018 Volvo XC40 D4 AWD Momentum,"Auckland Park, Johannesburg",R 589 950,R            11 229     p/m,52 000 km,Used Car,Automatic
2018 Volkswagen Amarok 3.0 V6 TDI Double Cab Highline 4Motion,"Bedfordview, Bedfordview",R 589 950,R            11 229     p/m,122 000 km,Used Car,Automatic
2018 Audi Q5 40TDI Quattro,"Kensington B, Randburg",R 589 950,R            11 229     p/m,50 000 km,Used Car,Automatic
2021 GWM P-Series 2.0TD Double Cab LT 4x4,"Raceview, Alberton",R 589 950,R            11 229     p/m,22 600 km,Used Car,Automatic
2022 Ford Ranger 2.2TDCi Double Cab Hi-Rider XL,,R 469 900,R            8 944     p/m,9 600 km,Used Car,Manual
2021 BMW X3 sDrive18d,,R 779 900,R            14 845     p/m,24 227 km,Used Car,Automatic
2021 Ferrari 812 Superfast,,R 7 999 995,R            152 273     p/m,400 km,Used Car,Automatic
2020 Mercedes-Benz A-Class A200 Sedan AMG Line,"Bardene, Boksburg",R 589 950,R            11 229     p/m,55 711 km,Used Car,Automatic
2020 Mercedes-Benz A-Class A200 Sedan AMG Line,"Bardene, Boksburg",R 589 950,R            11 229     p/m,54 382 km,Used Car,Automatic
2019 Mercedes-Benz C-Class C180 AMG Line Auto,"Bardene, Boksburg",R 589 950,R            11 229     p/m,64 265 km,Used Car,Automatic
2019 BMW X3 xDrive20i xLine Auto,"Northcliff, Randburg",R 589 950,R            11 229     p/m,49 000 km,Used Car,Automatic
2022 Volkswagen T-Roc 2.0TSI 140kW 4Motion Design,"Bryanston, Sandton",R 589 950,R            11 229     p/m,15 000 km,Used Car,Automatic
,,,,15 000 km,Used Car,Automatic
2022 Audi A3 Sedan 35TFSI Advanced Line,"Sunninghill, Sandton",R 589 950,R            11 229     p/m,17 000 km,Used Car,Automatic
2022 Audi A3 Sportback 35TFSI Advanced line,"Sunninghill, Sandton",R 589 950,R            11 229     p/m,19 888 km,Used Car,Automatic
2019 Mercedes-Benz C-Class C180 AMG Line Auto,"Bardene, Boksburg",R 589 950,R            11 229     p/m,55 233 km,Used Car,Automatic
2019 Mercedes-Benz C-Class C180 AMG Line Auto,"Beyers Park, Boksburg",R 589 950,R            11 229     p/m,56 000 km,Used Car,Automatic
2020 Mercedes-Benz A-Class A200 Sedan Progressive,"Bardene, Boksburg",R 589 950,R            11 229     p/m,60 772 km,Used Car,Automatic
2014 Volkswagen Golf GTi Auto,,R 349 950,R            6 661     p/m,93 872 km,Used Car,Automatic
2016 Renault Duster 1.5dCi Dynamique 4WD,,R 239 950,R            4 567     p/m,61 266 km,Used Car,Manual
2009 Citroen C3 1.4 Furio,,R 59 950,R            1 141     p/m,154 807 km,Used Car,Manual
2020 Mercedes-Benz A-Class A200 Sedan Progressive,"Bardene, Boksburg",R 589 950,R            11 229     p/m,59 661 km,Used Car,Automatic
2019 Mercedes-Benz C-Class C180 AMG Line Auto,"Bardene, Boksburg",R 589 950,R            11 229     p/m,61 675 km,Used Car,Automatic
2019 Mercedes-Benz C-Class C180 AMG Line Auto,"Bardene, Boksburg",R 589 950,R            11 229     p/m,66 801 km,Used Car,Automatic
2019 Mercedes-Benz C-Class C180 AMG Line Auto,"Bardene, Boksburg",R 589 950,R            11 229     p/m,49 777 km,Used Car,Automatic
2019 Mercedes-Benz C-Class C180 AMG Line Auto,"Bardene, Boksburg",R 589 950,R            11 229     p/m,69 986 km,Used Car,Automatic
2019 Audi Q5 40TDI Quattro Sport,"Sunninghill, Sandton",R 589 950,R            11 229     p/m,75 000 km,Used Car,Automatic
2019 Mercedes-Benz C-Class C180,"Bardene, Boksburg",R 589 950,R            11 229     p/m,60 929 km,Used Car,Automatic
2020 Mercedes-Benz A-Class A200 Sedan AMG Line,"Bardene, Boksburg",R 589 950,R            11 229     p/m,55 625 km,Used Car,Automatic
2018 BMW X3 xDrive20d M Sport,"Midridge Park, Midrand",R 589 950,R            11 229     p/m,82 000 km,Used Car,Automatic
2019 Audi Q5 2.0TDI Quattro,"Centurion Central, Centurion",R 589 900,R            11 228     p/m,95 000 km,Used Car,Automatic
2022 Hyundai Creta 1.5 Premium,,R 399 900,R            7 612     p/m,95 000 km,Used Car,Automatic
2020 Volkswagen Polo Vivo Hatch 1.4 Trendline,,R 153 000,R            2 912     p/m,52 000 km,Used Car,Manual
2019 Hyundai H-1 2.5CRDi Wagon GLS,,R 569 900,R            10 848     p/m,116 281 km,Used Car,Automatic
2015 BMW X6 xDrive40d M Sport,"Centurion Central, Centurion",R 589 900,R            11 228     p/m,86 000 km,Used Car,Automatic
2011 BMW M3 M Dynamic Auto,"Bedfordview, Bedfordview",R 589 900,R            11 228     p/m,120 000 km,Used Car,Automatic
2022 Volkswagen Polo GTi,"Ormonde, Johannesburg",R 589 900,R            11 228     p/m,1 000 km,Used Car,Automatic
2018 Toyota Hilux 2.8GD-6 Double Cab Raider Dakar Auto,"Horison View, Roodepoort",R 589 900,R            11 228     p/m,58 000 km,Used Car,Automatic
,,,,58 000 km,Used Car,Automatic
2022 Volkswagen Taigo 1.0TSI R-Line,"Edenburg, Sandton",R 589 900,R            11 228     p/m,2 458 km,Demo,Automatic
2022 Mazda CX-5 2.0 Carbon Edition,"Witkoppen, Sandton",R 589 900,R            11 228     p/m,101 km,Demo,Automatic
2016 BMW X5 xDrive30d M Sport,"Weltevreden Park, Roodepoort",R 589 900,R            11 228     p/m,122 000 km,Used Car,Automatic
2019 Ford Ranger 2.0Bi-Turbo Double Cab Hi-Rider Wildtrak,"Bramley, Johannesburg",R 589 900,R            11 228     p/m,64 955 km,Used Car,Automatic
2021 Kia Sorento 2.2CRDi LX,"Strijdompark, Randburg",R 589 900,R            11 228     p/m,14 171 km,Used Car,Automatic
2019 Mercedes-Benz GLA GLA200 AMG Line Auto,"Bryanston, Sandton",R 589 900,R            11 228     p/m,26 012 km,Used Car,Automatic
2022 Fiat 500X 1.4T Sport,,R 529 900,R            10 086     p/m,26 012 km,Used Car,Automatic
2022 Fiat 500X 1.4T Sport,,R 529 900,R            10 086     p/m,26 012 km,Used Car,Automatic
2022 Fiat 500X 1.4T Sport,,R 529 900,R            10 086     p/m,26 012 km,Used Car,Automatic
2021 Audi A4 35TFSI Advanced,"Gleneagles, Johannesburg",R 589 900,R            11 228     p/m,7 790 km,Used Car,Automatic
2020 Toyota RAV4 2.5 AWD VX,"Gleneagles, Johannesburg",R 589 900,R            11 228     p/m,17 320 km,Used Car,Automatic
2022 Honda CR-V 2.0 Elegance,"Amalgam, Johannesburg",R 589 900,R            11 228     p/m,500 km,Demo,Automatic
2022 Peugeot Landtrek 1.9D Allure,"Sunninghill, Sandton",R 589 900,R            11 228     p/m,1 500 km,Used Car,Automatic
2022 Hyundai Kona 1.6T N Line,"Payneville, Springs",R 589 900,R            11 228     p/m,1 500 km,Used Car,Automatic
2020 BMW 1 Series 118i M Sport,"Ormonde, Johannesburg",R 589 900,R            11 228     p/m,16 000 km,Used Car,Automatic
2021 Audi Q2 35TFSI,"Birnam, Johannesburg",R 589 900,R            11 228     p/m,22 574 km,Used Car,Automatic
2019 Toyota RAV4 2.5 AWD VX,"Magaliessig, Sandton",R 589 900,R            11 228     p/m,34 000 km,Used Car,Automatic
2017 Land Rover Discovery SDV6 Graphite,"Magaliessig, Sandton",R 589 900,R            11 228     p/m,146 200 km,Used Car,Automatic
2021 Mazda BT-50 3.0TD Double Cab Dynamic,"Jansenpark, Boksburg",R 589 900,R            11 228     p/m,14 000 km,Used Car,Automatic
2022 Suzuki Celerio 1.0 GL Auto,,R 199 900,R            3 805     p/m,30 km,Used Car,Automatic
2022 Volkswagen T-Cross 1.5TSI 110kW R-Line,,R 502 550,R            9 566     p/m,30 km,Used Car,Automatic
2022 Haval Jolion 1.5T Premium,,R 376 900,R            7 174     p/m,30 km,Used Car,Automatic
2022 Hyundai Kona 1.6T N Line,"Payneville, Springs",R 589 900,R            11 228     p/m,30 km,Used Car,Automatic
2020 BMW 1 Series 118i M Sport,"Ormonde, Johannesburg",R 589 900,R            11 228     p/m,16 000 km,Used Car,Automatic
2018 BMW X3 xDrive20d xLine,"Dalpark, Brakpan",R 589 900,R            11 228     p/m,88 400 km,Used Car,Automatic
2017 Ford Focus RS,"Benoni Central, Benoni",R 589 800,R            11 226     p/m,13 712 km,Used Car,Manual
2020 Ford Ranger 2.0Bi-Turbo Double Cab 4x4 Wildtrak,"Benoni Central, Benoni",R 589 800,R            11 226     p/m,90 201 km,Used Car,Automatic
2022 Volkswagen Polo GTi,"Ruiterhof, Randburg",R 589 700,R            11 224     p/m,1 027 km,Used Car,Automatic
2022 Volkswagen Polo GTi,"Ruiterhof, Randburg",R 589 700,R            11 224     p/m,2 900 km,Used Car,Automatic
2022 Volkswagen Polo GTi,"Ruiterhof, Randburg",R 589 700,R            11 224     p/m,6 500 km,Used Car,Automatic
2019 Toyota Fortuner 2.8GD-6 Auto,"Ruiterhof, Randburg",R 589 700,R            11 224     p/m,27 000 km,Used Car,Automatic
2019 Audi Q3 35TFSI Advanced line,"Bryanston, Sandton",R 589 000,R            11 211     p/m,37 000 km,Used Car,Automatic
2022 Ford Ranger 2.2TDCi Double Cab Hi-Rider XL Sport Auto,,R 499 890,R            9 515     p/m,4 600 km,Used Car,Automatic
2022 Ford Ranger 2.0Bi-Turbo Double Cab 4x4 Wildtrak,,R 749 890,R            14 273     p/m,4 800 km,Used Car,Automatic
2022 Ford Ranger 2.0Bi-Turbo Double Cab 4x4 Wildtrak,,R 749 890,R            14 273     p/m,3 600 km,Used Car,Automatic
2018 BMW X3 xDrive20d M Sport Auto,"Lonehill, Sandton",R 589 000,R            11 211     p/m,72 000 km,Used Car,Automatic
,,,,72 000 km,Used Car,Automatic
2017 Ford Focus RS,"Kramerville, Sandton",R 589 000,R            11 211     p/m,62 000 km,Used Car,Manual
2021 Volkswagen T-Roc 2.0TSI 140kW 4Motion Design,"Ruiterhof, Randburg",R 589 000,R            11 211     p/m,19 092 km,Used Car,Automatic
2021 MINI Clubman Cooper S Clubman,"Bardene, Boksburg",R 589 000,R            11 211     p/m,13 400 km,Used Car,Automatic
2015 Porsche Cayenne Diesel,"Bryanston, Sandton",R 588 900,R            11 209     p/m,130 800 km,Used Car,Automatic
2021 Volkswagen T-Roc 2.0TSI 140kW 4Motion Design,"Grand Central, Midrand",R 585 950,R            11 153     p/m,21 000 km,Used Car,Automatic
2020 Mercedes-Benz C-Class C180,"Bardene, Boksburg",R 585 000,R            11 135     p/m,54 000 km,Used Car,Automatic
2022 Audi A3 Sedan 35TFSI Advanced Line,"Bruma, Johannesburg",R 584 995,R            11 135     p/m,7 500 km,Used Car,Automatic
2022 Audi A3 Sportback 35TFSI,"Braamfontein, Johannesburg",R 584 900,R            11 133     p/m,3 400 km,Demo,Automatic
2017 Audi S3 Sportback Quattro,"Dayanglen, Boksburg",R 584 900,R            11 133     p/m,58 123 km,Used Car,Automatic
2016 Mitsubishi ASX 2.0 GLS Auto,,R 220 000,R            4 187     p/m,100 000 km,Used Car,Automatic
2018 BMW 7 Series 730d M Sport,,R 869 950,R            16 559     p/m,60 000 km,Used Car,Automatic
2021 Kia Grand Sedona 2.2CRDi EX+,,R 629 900,R            11 990     p/m,22 514 km,Used Car,Automatic
2018 BMW X3 xDrive20d,"Parkmore, Sandton",R 584 890,R            11 133     p/m,60 500 km,Used Car,Automatic
2021 Volkswagen T-Roc 2.0TSI 140kW 4Motion Design,"Witkoppen, Sandton",R 584 800,R            11 131     p/m,15 722 km,Used Car,Automatic
2021 Kia Grand Sedona 2.2CRDi EX+,"Payneville, Springs",R 583 201,R            11 101     p/m,34 000 km,Used Car,Automatic
2022 Volkswagen Taigo 1.0TSI R-Line,"Bryanston, Sandton",R 582 875,R            11 094     p/m,34 000 km,Used Car,Automatic
2019 Volvo XC40 D4 AWD R-Design,"Needwood, Randburg",R 579 999,R            11 040     p/m,83 500 km,Used Car,Automatic
2022 Volkswagen Polo GTi,"South Crest, Alberton",R 579 995,R            11 040     p/m,9 500 km,Used Car,Automatic
,,,,9 500 km,Used Car,Automatic
