Name,Location,Price,Monthly Payment,Milage (KM),Ownership,Transmission
2021 Fiat Tipo Hatch 1.6 Life,,R 338 900,R            6 451     p/m,13 500 km,Used Car,Automatic
2021 Nissan Almera 1.5 Acenta Auto,,R 234 900,R            4 471     p/m,26 500 km,Used Car,Automatic
1997 Lamborghini Diablo SV,"Edenvale Central, Edenvale",R 5 800 000,R            110 398     p/m,21 619 km,Used Car,Manual
2021 Bentley Flying Spur W12,"Morningside, Sandton",R 5 799 995,R            110 398     p/m,1 000 km,Used Car,Automatic
2019 McLaren 600 Spider,"Melrose North, Johannesburg",R 5 699 999,R            108 494     p/m,10 000 km,Used Car,Automatic
2019 Porsche 911 GT2 RS,"Paulshof, Sandton",R 5 695 000,R            108 399     p/m,1 500 km,Used Car,Automatic
2017 McLaren 720S Coupe,"Lonehill, Sandton",R 5 649 900,R            107 541     p/m,12 000 km,Used Car,Automatic
2018 Porsche 911 GT2 RS,"Morningside, Sandton",R 5 599 995,R            106 591     p/m,3 800 km,Used Car,Automatic
2022 Mercedes-AMG G-Class G63,"Morningside, Sandton",R 5 599 995,R            106 591     p/m,200 km,Used Car,Automatic
2019 McLaren 600 600LT Coupe,"Melrose North, Johannesburg",R 5 500 000,R            104 687     p/m,13 000 km,Used Car,Automatic
2020 Bentley Flying Spur W12,"Melrose North, Johannesburg",R 5 500 000,R            104 687     p/m,5 000 km,Used Car,Automatic
2009 Ferrari F430 Scuderia,"Melrose North, Johannesburg",R 5 499 999,R            104 687     p/m,3 336 km,Used Car,Automatic
2017 Toyota Corolla Quest 1.6 auto,,R 179 800,R            3 422     p/m,163 400 km,Used Car,Automatic
2017 Kia Rio Hatch 1.2,,R 169 800,R            3 232     p/m,119 200 km,Used Car,Manual
2010 Toyota Fortuner 3.0D-4D,,R 244 800,R            4 660     p/m,175 700 km,Used Car,Manual
2019 Porsche 911 GT2 RS,"Benoni Industrial, Benoni",POA,,6 800 km,Used Car,Automatic
,,,,6 800 km,Used Car,Automatic
2022 Mercedes-AMG G-Class G63,"Morningside, Sandton",R 5 499 995,R            104 687     p/m,200 km,Used Car,Automatic
2009 Ferrari F430 Scuderia,"Vorna Valley, Midrand",R 5 449 900,R            103 734     p/m,5 450 km,Used Car,Automatic
2018 Porsche 911 GT2 RS,"Vorna Valley, Midrand",R 5 299 900,R            100 879     p/m,9 700 km,Used Car,Automatic
2022 Aston Martin DB11 V12 Coupe,"Melrose North, Johannesburg",R 5 200 000,R            98 977     p/m,185 km,Used Car,Automatic
2020 Ferrari Portofino Portofino,"Kramerville, Sandton",R 5 199 000,R            98 958     p/m,3 900 km,Used Car,Automatic
2017 Ferrari 488 Spider,"Bryanston, Sandton",R 5 099 950,R            97 073     p/m,10 500 km,Used Car,Automatic
2022 Ferrari Roma Roma,"Bryanston, Sandton",R 5 094 200,R            96 963     p/m,300 km,Used Car,Automatic
2022 Mercedes-Maybach GLS GLS600,"Benoni Industrial, Benoni",R 4 999 999,R            95 170     p/m,100 km,Used Car,Automatic
2022 Mercedes-AMG G-Class G63,"Morningside, Sandton",R 4 999 995,R            95 170     p/m,2 000 km,Used Car,Automatic
2013 Ford Focus ST 5-Door,,R 140 000,R            2 665     p/m,81 000 km,Used Car,Manual
2022 Toyota Agya 1.0,,R 259 950,R            4 948     p/m,5 000 km,Used Car,Manual
2022 Alfa Romeo Stelvio 2.0T Super Q4,,R 979 500,R            18 644     p/m,2 359 km,Demo,Automatic
2018 Ferrari 488 488 GTB,"Morningside, Sandton",R 4 999 995,R            95 170     p/m,16 000 km,Used Car,Automatic
2009 Ferrari F430 Scuderia,"Bryanston, Sandton",R 4 999 950,R            95 169     p/m,15 000 km,Used Car,Automatic
2013 Ferrari F12BERLINETTA F12berlinetta,"Kensington B, Randburg",R 4 999 900,R            95 168     p/m,12 000 km,Used Car,Automatic
2022 Mercedes-Maybach GLS GLS600,"Kramerville, Sandton",R 4 999 000,R            95 151     p/m,260 km,Used Car,Automatic
2022 Mercedes-AMG G-Class G63,"Kramerville, Sandton",R 4 999 000,R            95 151     p/m,96 km,Used Car,Automatic
2021 Mercedes-AMG G-Class G63,"Kramerville, Sandton",R 4 999 000,R            95 151     p/m,15 000 km,Used Car,Automatic
2021 Mercedes-AMG G-Class G63,"Kramerville, Sandton",R 4 999 000,R            95 151     p/m,9 000 km,Used Car,Automatic
2016 Ferrari 488 488 GTB,"Corporate Park, Midrand",R 4 995 000R 5 395 000,R            95 075     p/mR            102 689     p/m,1 767 km,Used Car,Automatic
2016 Ferrari 488 488 GTB,"Bryanston, Sandton",R 4 899 995,R            93 267     p/m,4 000 km,Used Car,Automatic
2017 Rolls-Royce Ghost Ghost,"Barbeque Downs, Midrand",R 4 899 950,R            93 266     p/m,27 000 km,Used Car,Automatic
2022 Land Rover Defender 110 V8 Carpathian Edition,,R 2 799 900,R            53 294     p/m,850 km,Used Car,Automatic
2021 Land Rover Range Rover Velar D200 R-Dynamic SE,,R 1 489 900,R            28 359     p/m,9 600 km,Used Car,Automatic
2022 Land Rover Range Rover Velar D200 R-Dynamic Auric Edition,,R 1 529 900,R            29 120     p/m,21 000 km,Used Car,Automatic
2021 Ferrari Roma Roma,"Bryanston, Sandton",R 4 899 950,R            93 266     p/m,3 600 km,Used Car,Automatic
2017 Ferrari 488 Spider,"Bryanston, Sandton",R 4 849 995,R            92 315     p/m,13 500 km,Used Car,Automatic
2022 Mercedes-AMG G-Class G63,"Morningside, Sandton",R 4 799 995,R            91 363     p/m,100 km,Used Car,Automatic
2014 Ferrari F12BERLINETTA F12berlinetta,"Morningside, Sandton",R 4 799 995,R            91 363     p/m,6 000 km,Used Car,Automatic
2014 Rolls-Royce Ghost Ghost,"Morningside, Sandton",R 4 799 995,R            91 363     p/m,12 000 km,Used Car,Automatic
,,,,12 000 km,Used Car,Automatic
2022 Mercedes-AMG G-Class G63,"Morningside, Sandton",R 4 799 995,R            91 363     p/m,162 km,Used Car,Automatic
2022 Mercedes-AMG G-Class G63,"Morningside, Sandton",R 4 799 995,R            91 363     p/m,100 km,Used Car,Automatic
2016 Lamborghini Huracan LP610-4 Coupe,"Kramerville, Sandton",R 4 799 000,R            91 345     p/m,31 000 km,Used Car,Automatic
2016 Ferrari 488 Spider,"Lonehill, Sandton",R 4 750 000,R            90 412     p/m,14 000 km,Used Car,Automatic
2019 Bentley Continental GT W12 Convertible,"Zwartkop, Centurion",R 4 699 900,R            89 458     p/m,300 km,Used Car,Automatic
2020 Suzuki Jimny 1.5 GLX AllGrip Auto,,R 339 950,R            6 471     p/m,14 700 km,Used Car,Automatic
2017 Ford EcoSport 1.5 Ambiente,,R 135 000,R            2 570     p/m,99 000 km,Used Car,Manual
2018 Audi Q3 1.4TFSI S Auto,,R 469 950,R            8 945     p/m,11 886 km,Used Car,Automatic
2021 Porsche 911 Turbo S Coupe,"Lonehill, Sandton",R 4 649 900,R            88 507     p/m,5 000 km,Used Car,Automatic
2019 Ferrari Portofino Portofino,"Benoni Industrial, Benoni",R 4 599 999,R            87 557     p/m,1 400 km,Used Car,Automatic
2016 Ferrari 488 488 GTB,"Morningside, Sandton",R 4 599 995,R            87 557     p/m,13 000 km,Used Car,Automatic
2022 Mercedes-AMG G-Class G63,"Morningside, Sandton",R 4 599 995,R            87 557     p/m,100 km,Used Car,Automatic
2022 Mercedes-AMG G-Class G63,"Morningside, Sandton",R 4 599 995,R            87 557     p/m,200 km,Used Car,Automatic
2022 Mercedes-AMG G-Class G63,"Morningside, Sandton",R 4 599 995,R            87 557     p/m,100 km,Used Car,Automatic
2021 Mercedes-Maybach GLS GLS600,"Sandton Central, Sandton",R 4 599 950,R            87 556     p/m,1 500 km,Used Car,Automatic
2022 Mercedes-AMG G-Class G63,"Sandton Central, Sandton",R 4 599 950,R            87 556     p/m,1 500 km,Used Car,Automatic
,,,,1 500 km,Used Car,Automatic
2022 Mercedes-AMG G-Class G63,"Constantia Kloof, Roodepoort",R 4 599 950,R            87 556     p/m,1 500 km,Used Car,Automatic
2014 Ferrari F12BERLINETTA F12berlinetta,"Vorna Valley, Midrand",R 4 599 900,R            87 555     p/m,7 900 km,Used Car,Automatic
2021 Toyota Starlet 1.4 XS Auto,,R 239 990,R            4 568     p/m,25 000 km,Used Car,Automatic
2019 Mahindra XUV300 1.2T W8,,R 269 990,R            5 139     p/m,43 500 km,Used Car,Manual
2019 Mitsubishi Eclipse Cross 2.0 GLS AWD,,R 369 990,R            7 042     p/m,61 000 km,Used Car,Automatic
2020 Bentley Bentayga V8,"Birnam, Johannesburg",R 4 595 000,R            87 462     p/m,4 300 km,Used Car,Automatic
2017 Ferrari GTC4Lusso GTC4Lusso,"Benoni Industrial, Benoni",R 4 499 999,R            85 653     p/m,10 000 km,Used Car,Automatic
